Time_UTC[s] Orbit_rail_pos[mm] PI_table_pos[deg] Target_table_pos[deg] Robot_X[mm] Robot_Y[mm] Robot_Z[mm] Robot_A[deg] Robot_B[deg] Robot_C[deg] Attitude_RA[Deg] Attitude_Dec[Deg] Attitude_Rot[Deg]
1763462813.238000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462813.351000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462813.463000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462813.566000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462813.678000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462813.790000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462813.895000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.002000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.115000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.221000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.330000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.439000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.552000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.661000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.771000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.880000 1538.020020 0.000000 0.000000 -215.010300 -599.999500 635.012000 -0.000100 -0.009600 90.999600 3.140466 -1.463780 0.000000
1763462814.989000 1538.020020 0.000000 0.000000 -215.000500 -599.739700 634.973000 -0.003400 -0.031900 91.016300 3.135318 -1.475431 0.000000
1763462815.098000 1538.020020 0.000000 0.000000 -214.997600 -596.680400 634.980300 0.010200 -0.018300 91.007800 3.149986 -1.470727 0.000000
1763462815.207000 1538.020020 0.000000 0.000000 -215.006800 -592.716400 635.028800 -0.000300 0.005200 90.998500 3.141855 -1.462984 0.000000
1763462815.317000 1538.020020 0.000000 0.000000 -215.020500 -590.557600 635.012300 -0.001500 -0.008800 90.998800 3.139144 -1.463051 0.000000
1763462815.426000 1538.020020 0.000000 0.000000 -215.010300 -587.317100 635.021600 0.000100 -0.000800 91.000800 3.141608 -1.465406 0.000000
1763462815.535000 1538.020020 0.000000 0.000000 -215.005900 -583.357000 635.026500 0.001400 -0.000300 90.999500 3.142961 -1.464109 0.000000
1763462815.644000 1538.020020 0.000000 0.000000 -215.007000 -579.755600 635.027800 0.001000 -0.007100 90.997500 3.141818 -1.461879 0.000000
1763462815.753000 1538.020020 0.000000 0.000000 -215.001200 -577.242500 635.018700 0.000100 -0.016300 90.998900 3.139937 -1.462283 0.000000
1763462815.863000 1538.020020 0.000000 0.000000 -215.012200 -573.998500 635.026700 -0.002100 -0.017100 90.997500 3.137627 -1.460778 0.000000
1763462815.972000 1538.020020 0.000000 0.000000 -215.014500 -570.392900 635.026100 -0.004600 -0.003700 90.997500 3.136589 -1.462047 0.000000
1763462816.081000 1538.020020 0.000000 0.000000 -215.032200 -566.793600 635.018500 -0.014500 -0.009400 90.994000 3.126034 -1.458218 0.000000
1763462816.190000 1538.020020 0.000000 0.000000 -215.041600 -564.281000 635.019100 -0.020400 -0.000600 90.991100 3.121123 -1.455708 0.000000
1763462816.299000 1538.020020 0.000000 0.000000 -215.019000 -561.038500 635.006200 -0.005900 0.000200 90.998800 3.135714 -1.463409 0.000000
1763462816.409000 1538.020020 0.000000 0.000000 -215.011200 -557.437600 635.020600 -0.003200 -0.005200 90.998400 3.137830 -1.462884 0.000000
1763462816.518000 1538.020020 0.000000 0.000000 -215.011600 -553.476200 635.014600 -0.001900 -0.008000 91.000100 3.138841 -1.464409 0.000000
1763462816.627000 1538.020020 0.000000 0.000000 -215.011300 -551.318500 635.000700 -0.000100 -0.005600 91.002700 3.140911 -1.467159 0.000000
1763462816.736000 1538.020020 0.000000 0.000000 -215.009200 -547.719400 635.003000 -0.001000 0.001800 91.000900 3.140783 -1.465494 0.000000
1763462816.845000 1538.020020 0.000000 0.000000 -215.004900 -544.120000 635.012600 -0.000200 -0.003800 91.000600 3.140990 -1.465141 0.000000
1763462816.955000 1538.020020 0.000000 0.000000 -215.009100 -540.519600 635.007100 -0.000500 -0.014100 91.000600 3.139598 -1.464276 0.000000
1763462817.064000 1538.020020 0.000000 0.000000 -215.011900 -537.993300 635.011400 0.001400 -0.014400 91.000800 3.141469 -1.464434 0.000000
1763462817.173000 1538.020020 0.000000 0.000000 -215.016700 -534.755300 635.010900 -0.001900 -0.009700 90.999300 3.138652 -1.463472 0.000000
1763462817.282000 1538.020020 0.000000 0.000000 -215.014500 -531.157000 635.005700 0.001000 -0.012600 91.000200 3.141252 -1.464066 0.000000
1763462817.391000 1538.020020 0.000000 0.000000 -215.004900 -527.201600 634.998700 -0.001100 -0.017200 91.000200 3.138663 -1.463428 0.000000
1763462817.501000 1538.020020 0.000000 0.000000 -215.007700 -525.038000 635.011900 0.000200 -0.007700 91.000300 3.140974 -1.464631 0.000000
