Time_UTC[s] Orbit_rail_pos[mm] PI_table_pos[deg] Target_table_pos[deg] Robot_X[mm] Robot_Y[mm] Robot_Z[mm] Robot_A[deg] Robot_B[deg] Robot_C[deg] Attitude_RA[Deg] Attitude_Dec[Deg] Attitude_Rot[Deg]
1763464691.352000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464691.459000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464691.569000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464691.680000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464691.791000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464691.895000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.004000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.119000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.223000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.352000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.454000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.563000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.672000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.781000 1538.020020 0.000000 0.000000 -100.002200 -260.000700 680.759200 -90.010600 0.010400 0.000500 4.237174 1.560384 0.000000
1763464692.891000 1538.020020 0.000000 0.000000 -100.053500 -259.995500 680.753400 -90.019000 0.011400 0.000900 4.228769 1.559361 0.000000
1763464693.000000 1538.020020 0.000000 0.000000 -101.617200 -259.990200 680.743700 -90.047400 0.021500 0.004800 4.200276 1.548767 0.000000
1763464693.109000 1538.020020 0.000000 0.000000 -104.767400 -260.017400 680.744300 -90.014000 0.022300 0.005400 4.233659 1.547852 0.000000
1763464693.218000 1538.020020 0.000000 0.000000 -108.362400 -260.003600 680.763900 -90.009000 0.012900 0.001800 4.238756 1.557771 0.000000
