Time_UTC[s] Orbit_rail_pos[mm] PI_table_pos[deg] Target_table_pos[deg] Robot_X[mm] Robot_Y[mm] Robot_Z[mm] Robot_A[deg] Robot_B[deg] Robot_C[deg] Attitude_RA[Deg] Attitude_Dec[Deg] Attitude_Rot[Deg]
1763465228.400000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465228.511000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465228.620000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465228.729000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465228.838000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465228.947000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.057000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.163000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.273000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.392000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.492000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.600000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
1763465229.711000 1538.020020 0.000000 0.000000 -163.670200 -403.848100 680.755300 -89.999900 -0.001300 88.349800 4.248407 1.185589 0.000000
