Time_UTC[s] Orbit_rail_pos[mm] PI_table_pos[deg] Target_table_pos[deg] Robot_X[mm] Robot_Y[mm] Robot_Z[mm] Robot_A[deg] Robot_B[deg] Robot_C[deg] Attitude_RA[Deg] Attitude_Dec[Deg] Attitude_Rot[Deg]
1763464115.195000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.300000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.410000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.525000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.630000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.738000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.848000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464115.958000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.070000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.174000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.285000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.395000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.506000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.616000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.725000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.834000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464116.943000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.052000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.162000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.269000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.378000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.493000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.595000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.705000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.817000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464117.922000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.031000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.140000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.253000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.361000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.470000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.579000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.689000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.798000 1538.020020 0.000000 0.000000 -163.661800 -559.997200 680.766400 -90.000600 0.009500 0.000000 4.247180 1.561296 0.000000
1763464118.907000 1538.020020 0.000000 0.000000 -163.658700 -559.986500 680.775600 -90.000600 0.009000 -0.000200 4.247181 1.561794 0.000000
1763464119.016000 1538.020020 0.000000 0.000000 -163.647900 -558.134000 680.682800 -90.044400 0.036800 0.008000 4.203085 1.533137 0.000000
1763464119.125000 1538.020020 0.000000 0.000000 -163.662100 -554.152800 680.774600 -90.009000 0.006600 -0.000900 4.238786 1.564135 0.000000
1763464119.235000 1538.020020 0.000000 0.000000 -163.653000 -550.557700 680.764600 -90.003200 0.009600 0.000000 4.244580 1.561196 0.000000
1763464119.344000 1538.020020 0.000000 0.000000 -163.654900 -548.049500 680.766300 -90.000500 0.014800 0.001600 4.247256 1.555910 0.000000
1763464119.453000 1538.020020 0.000000 0.000000 -163.659900 -544.800500 680.755700 -89.993300 0.008700 -0.000200 4.254481 1.562094 0.000000
1763464119.562000 1538.020020 0.000000 0.000000 -163.664000 -541.196900 680.768000 -90.002600 0.008000 -0.000400 4.245183 1.562786 0.000000
1763464119.671000 1538.020020 0.000000 0.000000 -163.656600 -537.598700 680.769000 -90.002700 0.009700 0.000100 4.245079 1.561096 0.000000
1763464119.781000 1538.020020 0.000000 0.000000 -163.661000 -535.083500 680.751800 -89.997500 0.013900 0.001400 4.250260 1.556826 0.000000
1763464119.890000 1538.020020 0.000000 0.000000 -163.660400 -531.834700 680.757300 -90.005100 0.006400 -0.000900 4.242685 1.564333 0.000000
1763464119.999000 1538.020020 0.000000 0.000000 -163.663400 -528.239700 680.776700 -90.001500 0.009000 0.000000 4.246280 1.561796 0.000000
1763464120.108000 1538.020020 0.000000 0.000000 -163.661400 -524.294800 680.748500 -89.999100 0.017900 0.002800 4.248629 1.552679 0.000000
1763464120.217000 1538.020020 0.000000 0.000000 -163.654700 -522.113800 680.781800 -90.000900 0.007800 -0.000400 4.246883 1.562986 0.000000
1763464120.327000 1538.020020 0.000000 0.000000 -163.661100 -518.879000 680.765200 -90.003200 0.009000 0.000000 4.244580 1.561796 0.000000
1763464120.436000 1538.020020 0.000000 0.000000 -163.661200 -514.918400 680.748400 -90.000600 0.007600 -0.000400 4.247183 1.563186 0.000000
1763464120.545000 1538.020020 0.000000 0.000000 -163.665000 -511.328100 680.759100 -90.001200 0.016500 0.002400 4.246540 1.554123 0.000000
1763464120.654000 1538.020020 0.000000 0.000000 -163.663900 -508.803400 680.757700 -90.001500 0.014400 0.001800 4.246254 1.556284 0.000000
1763464120.763000 1538.020020 0.000000 0.000000 -163.660500 -505.554000 680.749900 -90.002300 0.006400 -0.000800 4.245485 1.564347 0.000000
1763464120.873000 1538.020020 0.000000 0.000000 -163.657700 -501.962800 680.764200 -89.998700 0.008900 0.000000 4.249080 1.561896 0.000000
1763464120.982000 1538.020020 0.000000 0.000000 -163.659400 -498.001000 680.775600 -90.000800 0.010800 0.000700 4.246972 1.559974 0.000000
1763464121.091000 1538.020020 0.000000 0.000000 -163.661600 -495.848400 680.765900 -89.998800 0.015500 0.002200 4.248946 1.555141 0.000000
1763464121.200000 1538.020020 0.000000 0.000000 -163.661600 -492.599000 680.752900 -89.996400 0.008000 -0.000200 4.251381 1.562794 0.000000
1763464121.309000 1538.020020 0.000000 0.000000 -163.662500 -488.642700 680.776600 -90.002100 0.010600 0.000700 4.245672 1.560173 0.000000
1763464121.419000 1538.020020 0.000000 0.000000 -163.656500 -485.029200 680.779400 -89.998700 0.003800 -0.001600 4.249086 1.566673 0.000000
1763464121.528000 1538.020020 0.000000 0.000000 -163.663300 -482.523400 680.764800 -90.009500 0.011100 0.000900 4.238270 1.559660 0.000000
1763464121.637000 1538.020020 0.000000 0.000000 -163.656700 -479.289100 680.757800 -89.995300 0.015400 0.002400 4.252443 1.555210 0.000000
1763464121.746000 1538.020020 0.000000 0.000000 -163.657800 -475.670700 680.783900 -89.994300 0.005900 -0.000900 4.253485 1.564828 0.000000
1763464121.855000 1538.020020 0.000000 0.000000 -163.664900 -472.079100 680.782100 -89.998500 0.009000 0.000200 4.249278 1.561794 0.000000
1763464121.965000 1538.020020 0.000000 0.000000 -163.662300 -469.558500 680.757100 -90.000800 0.009200 0.000300 4.246977 1.561591 0.000000
1763464122.074000 1538.020020 0.000000 0.000000 -163.663500 -466.308500 680.762200 -90.006600 0.007100 -0.000400 4.241182 1.563685 0.000000
1763464122.183000 1538.020020 0.000000 0.000000 -163.668000 -462.721800 680.760200 -90.002300 0.013700 0.001900 4.245454 1.556965 0.000000
1763464122.292000 1538.020020 0.000000 0.000000 -163.653900 -458.761000 680.746800 -89.993400 0.009700 0.000600 4.254374 1.561078 0.000000
1763464122.401000 1538.020020 0.000000 0.000000 -163.656300 -456.592700 680.768000 -89.993800 0.007000 -0.001000 4.253987 1.563725 0.000000
1763464122.511000 1538.020020 0.000000 0.000000 -163.664700 -453.356500 680.763400 -90.002000 0.009400 -0.000100 4.245781 1.561396 0.000000
1763464122.620000 1538.020020 0.000000 0.000000 -163.660300 -449.392400 680.765300 -89.993300 0.005400 -0.001500 4.254488 1.565192 0.000000
1763464122.729000 1538.020020 0.000000 0.000000 -163.657200 -445.791500 680.766700 -90.000900 0.006100 -0.001300 4.246888 1.564559 0.000000
1763464122.838000 1538.020020 0.000000 0.000000 -163.662800 -443.282900 680.774800 -90.002000 0.011400 0.000700 4.245772 1.559375 0.000000
1763464122.947000 1538.020020 0.000000 0.000000 -163.655900 -440.050100 680.768200 -89.995200 0.016100 0.002500 4.252539 1.554503 0.000000
1763464123.057000 1538.020020 0.000000 0.000000 -163.665200 -436.442700 680.755700 -90.001000 0.016100 0.002500 4.246739 1.554503 0.000000
1763464123.166000 1538.020020 0.000000 0.000000 -163.664000 -432.475000 680.763100 -90.002300 0.008700 -0.000200 4.245481 1.562094 0.000000
1763464123.275000 1538.020020 0.000000 0.000000 -163.663400 -430.320100 680.759200 -90.004100 0.013200 0.001500 4.243660 1.557511 0.000000
1763464123.384000 1538.020020 0.000000 0.000000 -163.660300 -427.072000 680.774900 -90.005600 0.005300 -0.001500 4.242188 1.565288 0.000000
1763464123.493000 1538.020020 0.000000 0.000000 -163.655900 -423.114600 680.770000 -89.998800 0.005300 -0.001500 4.248988 1.565288 0.000000
1763464123.603000 1538.020020 0.000000 0.000000 -163.662200 -419.524500 680.772900 -90.002000 0.011800 0.001100 4.245767 1.558945 0.000000
1763464123.712000 1538.020020 0.000000 0.000000 -163.661700 -417.002500 680.764000 -89.998300 0.013500 0.001700 4.249457 1.557190 0.000000
1763464123.821000 1538.020020 0.000000 0.000000 -163.662400 -413.750400 680.751900 -90.002800 0.007700 -0.000500 4.244983 1.563080 0.000000
1763464123.930000 1538.020020 0.000000 0.000000 -163.661800 -410.150200 680.768900 -90.005700 0.008500 -0.000100 4.242080 1.562296 0.000000
1763464124.039000 1538.020020 0.000000 0.000000 -163.659400 -406.561600 680.762700 -90.000600 0.013100 0.001700 4.247157 1.557586 0.000000
1763464124.149000 1538.020020 0.000000 0.000000 -163.660100 -404.034100 680.768500 -89.997500 0.007700 -0.000400 4.250283 1.563086 0.000000
1763464124.258000 1538.020020 0.000000 0.000000 -163.664400 -400.801800 680.752500 -90.007200 0.014300 0.002300 4.240547 1.556313 0.000000
1763464124.367000 1538.020020 0.000000 0.000000 -163.661600 -396.839600 680.743400 -89.996800 0.012400 0.001600 4.250960 1.558294 0.000000
1763464124.476000 1538.020020 0.000000 0.000000 -163.656100 -393.234500 680.754000 -89.996800 0.006500 -0.000900 4.250985 1.564234 0.000000
1763464124.585000 1538.020020 0.000000 0.000000 -163.654200 -391.079300 680.773900 -89.999400 0.008400 -0.000100 4.248380 1.562396 0.000000
1763464124.695000 1538.020020 0.000000 0.000000 -163.666200 -387.479600 680.752100 -90.002800 0.013600 0.002200 4.244950 1.557020 0.000000
1763464124.804000 1538.020020 0.000000 0.000000 -163.662500 -383.878900 680.756700 -90.003700 0.013800 0.002300 4.244048 1.556806 0.000000
